"pais","year","month","censo"
"Total",2003,"12","1091813"
"Total",2004,"12","1127827"
"Total",2005,"12","1139218"
"Total",2006,"12","1160209"
"Total",2007,"12","1194350"
"Total",2008,"12","1237893"
"Total",2009,"12","1306172"
"Total",2010,"12","1408825"
"Total",2011,"12","1509333"
"Total",2012,"12","1591639"
"Total",2013,"12","1700910"
"Total",2014,"12","1798525"
"Total",2015,"12","1891036"
"Total",2016,"12","1972796"
"Total",2017,"12","2030810"
"Total",2018,"12","2082469"
"Total",2019,"12","2136588"
"Total",2020,"12","2174693"
"Total",2021,"12","2240529"
"Total",2022,"12","2291702"
"Total",2023,"12","2390267"
"Total",2003,"11","1080668"
"Total",2004,"11","1115712"
"Total",2005,"11","1136217"
"Total",2006,"11","1159109"
"Total",2007,"11","1190851"
"Total",2008,"11","1235883"
"Total",2009,"11","1299569"
"Total",2010,"11","1400266"
"Total",2011,"11","1502174"
"Total",2012,"11","1579804"
"Total",2013,"11","1692131"
"Total",2014,"11","1791515"
"Total",2015,"11","1889344"
"Total",2016,"11","1967584"
"Total",2017,"11","2027772"
"Total",2018,"11","2078365"
"Total",2019,"11","2131098"
"Total",2020,"11","2173476"
"Total",2021,"11","2236033"
"Total",2022,"11","2290583"
"Total",2023,"11","2379063"
"Total",2003,"10","1077379"
"Total",2004,"10","1105985"
"Total",2005,"10","1133967"
"Total",2006,"10","1158951"
"Total",2007,"10","1184390"
"Total",2008,"10","1233568"
"Total",2009,"10","1293129"
"Total",2010,"10","1389916"
"Total",2011,"10","1491522"
"Total",2012,"10","1576757"
"Total",2013,"10","1684462"
"Total",2014,"10","1783324"
"Total",2015,"10","1877701"
"Total",2016,"10","1960775"
"Total",2017,"10","2023998"
"Total",2018,"10","2073657"
"Total",2019,"10","2124352"
"Total",2020,"10","2169564"
"Total",2021,"10","2231002"
"Total",2022,"10","2285830"
"Total",2023,"10","2369885"
"Total",2003,"09","1077463"
"Total",2004,"09","1094107"
"Total",2005,"09","1133156"
"Total",2006,"09","1156967"
"Total",2007,"09","1181349"
"Total",2008,"09","1231591"
"Total",2009,"09","1287929"
"Total",2010,"09","1381852"
"Total",2011,"09","1480702"
"Total",2012,"09","1568848"
"Total",2013,"09","1675289"
"Total",2014,"09","1773933"
"Total",2015,"09","1870570"
"Total",2016,"09","1955344"
"Total",2017,"09","2019878"
"Total",2018,"09","2069715"
"Total",2019,"09","2116406"
"Total",2020,"09","2166742"
"Total",2021,"09","2225743"
"Total",2022,"09","2281329"
"Total",2023,"09","2356819"
"Total",2003,"08","1069673"
"Total",2004,"08","1095791"
"Total",2005,"08","1129695"
"Total",2006,"08","1154578"
"Total",2007,"08","1179057"
"Total",2008,"08","1228330"
"Total",2009,"08","1280303"
"Total",2010,"08","1372163"
"Total",2011,"08","1477446"
"Total",2012,"08","1561727"
"Total",2013,"08","1662725"
"Total",2014,"08","1765603"
"Total",2015,"08","1864604"
"Total",2016,"08","1944730"
"Total",2017,"08","2015255"
"Total",2018,"08","2061477"
"Total",2019,"08","2107107"
"Total",2020,"08","2165214"
"Total",2021,"08","2215713"
"Total",2022,"08","2277179"
"Total",2023,"08","2344215"
"Total",2003,"07","1060889"
"Total",2004,"07","1097359"
"Total",2005,"07","1129950"
"Total",2006,"07","1153916"
"Total",2007,"07","1176238"
"Total",2008,"07","1226175"
"Total",2009,"07","1273291"
"Total",2010,"07","1362830"
"Total",2011,"07","1463473"
"Total",2012,"07","1558851"
"Total",2013,"07","1658951"
"Total",2014,"07","1755996"
"Total",2015,"07","1856697"
"Total",2016,"07","1939599"
"Total",2017,"07","2011953"
"Total",2018,"07","2062268"
"Total",2019,"07","2111202"
"Total",2020,"07","2162319"
"Total",2021,"07","2217885"
"Total",2022,"07","2273085"
"Total",2023,"07","2333056"
"Total",2003,"06","1058106"
"Total",2004,"06","1099168"
"Total",2005,"06","1128168"
"Total",2006,"06","1153317"
"Total",2007,"06","1175656"
"Total",2008,"06","1222631"
"Total",2009,"06","1266080"
"Total",2010,"06","1353499"
"Total",2011,"06","1463812"
"Total",2012,"06","1550827"
"Total",2013,"06","1650913"
"Total",2014,"06","1748726"
"Total",2015,"06","1848296"
"Total",2016,"06","1932692"
"Total",2017,"06","2007063"
"Total",2018,"06","2058558"
"Total",2019,"06","2112448"
"Total",2020,"06","2158975"
"Total",2021,"06","2212370"
"Total",2022,"06","2268765"
"Total",2023,"06","2327388"
"Total",2003,"05","1060445"
"Total",2004,"05","1090938"
"Total",2005,"05","1125783"
"Total",2006,"05","1151572"
"Total",2007,"05","1173976"
"Total",2008,"05","1218726"
"Total",2009,"05","1261850"
"Total",2010,"05","1344772"
"Total",2011,"05","1456414"
"Total",2012,"05","1545184"
"Total",2013,"05","1641589"
"Total",2014,"05","1733597"
"Total",2015,"05","1838005.5"
"Total",2016,"05","1927032"
"Total",2017,"05","2001584"
"Total",2018,"05","2054964"
"Total",2019,"05","2108123"
"Total",2020,"05","2156467"
"Total",2021,"05","2206513"
"Total",2022,"05","2266187"
"Total",2023,"05","2322054"
"Total",2003,"04","1061130"
"Total",2004,"04","1095542"
"Total",2005,"04","1122084"
"Total",2006,"04","1150056"
"Total",2007,"04","1168721"
"Total",2008,"04","1215548"
"Total",2009,"04","1256401"
"Total",2010,"04","1333693"
"Total",2011,"04","1441086"
"Total",2012,"04","1532418"
"Total",2013,"04","1631631"
"Total",2014,"04","1725788"
"Total",2015,"04","1829764"
"Total",2016,"04","1919712"
"Total",2017,"04","1994859"
"Total",2018,"04","2050972"
"Total",2019,"04","2100941"
"Total",2020,"04","2154119"
"Total",2021,"04","2200047"
"Total",2022,"04","2264946"
"Total",2023,"04","2315006"
"Total",2003,"03","1063876"
"Total",2004,"03","1098482"
"Total",2005,"03","1120801"
"Total",2006,"03","1147913"
"Total",2007,"03","1164188"
"Total",2008,"03","1214317"
"Total",2009,"03","1245415"
"Total",2010,"03","1325248"
"Total",2011,"03","1432948"
"Total",2012,"03","1526940"
"Total",2013,"03","1623809"
"Total",2014,"03","1719036"
"Total",2015,"03","1824345"
"Total",2016,"03","1910245"
"Total",2017,"03","1989390"
"Total",2018,"03","2046980"
"Total",2019,"03","2096540"
"Total",2020,"03","2148921"
"Total",2021,"03","2192543"
"Total",2022,"03","2261421"
"Total",2023,"03","2310717"
"Total",2003,"02","1053763"
"Total",2004,"02","1074850"
"Total",2005,"02","1121881"
"Total",2006,"02","1144501"
"Total",2007,"02","1162176"
"Total",2008,"02","1210075"
"Total",2009,"02","1242954"
"Total",2010,"02","1317436"
"Total",2011,"02","1430856"
"Total",2012,"02","1518223"
"Total",2013,"02","1617797"
"Total",2014,"02","1714363"
"Total",2015,"02","1815645"
"Total",2016,"02","1904113"
"Total",2017,"02","1983655"
"Total",2018,"02","2040705"
"Total",2019,"02","2088974"
"Total",2020,"02","2145582"
"Total",2021,"02","2186755"
"Total",2022,"02","2253812"
"Total",2023,"02","2309359"
"Total",2003,"01","1051281"
"Total",2004,"01","1097688"
"Total",2005,"01","1128958"
"Total",2006,"01","1142334"
"Total",2007,"01","1162391"
"Total",2008,"01","1201433"
"Total",2009,"01","1237832"
"Total",2010,"01","1312646"
"Total",2011,"01","1416766"
"Total",2012,"01","1516646"
"Total",2013,"01","1609989"
"Total",2014,"01","1709901"
"Total",2015,"01","1807642"
"Total",2016,"01","1898669"
"Total",2017,"01","1978984"
"Total",2018,"01","2036926"
"Total",2019,"01","2084479"
"Total",2020,"01","2142337"
"Total",2021,"01","2182862"
"Total",2022,"01","2248652"
"Total",2023,"01","2296666"
